time (steps),Gov,Info,Infer,Int,A_Econ,SI_Econ,GM,ICu,IInter,ICo,A_Emp,SI_Emp,GT,IV,IA,IInteg,A_Edu,SI_Edu,V_CGM,V_grad_total,V_cycle_total,V_grad_Econ,V_cycle_Econ,V_grad_Emp,V_cycle_Emp,V_grad_Edu,V_cycle_Edu,E_gov,E_info,E_inf,E_intel,A_Ecol,SI_Ecol,GTD,IVD,IAD,IID,V_grad_Ecol,V_cycle_Ecol
0.0,0.6,0.62,0.61,0.59,0.02069955391461345,99.99999999999987,0.25,0.26,0.25,0.24,0.02069955391461345,99.99999999999987,0.6,0.62,0.61,0.59,0.02069955391461345,99.99999999999987,0.171383952894571,0.17138395266236436,2.3220665649914247e-10,0.0,8.874685183736372e-31,0.0,8.874685183736372e-31,0.0,8.874685183736372e-31,0.5057305093933067,0.2335047562360218,0.2580056439187823,0.022354668157723242,0.0207,99.99784499813248,0.02287058700882122,0.2721281756066331,0.2368980398289227,0.46051103823993217,0.0,2.3220665649914247e-10
1.0,0.6,0.62,0.61,0.59,0.020699553914613464,99.9999999999998,0.2664805970952146,0.25809676808895243,0.25044974690531896,0.2249728879105141,0.005237853667013926,25.304186209134283,0.5653909585425605,0.6039753278630735,0.5922010643933169,0.5891233427386988,0.013822095451000714,66.7748469750482,1.1919096963255493,0.1661515302032237,1.0257581661223256,0.0,1.9968041663406823e-30,0.0,0.9442132887815173,0.0,0.08154487454452619,0.5056054258228186,0.2333810563638828,0.2578859370964827,0.022244934514015845,0.020701101956495976,99.99252193489117,0.028913401796229532,0.26615220759064173,0.231114976928468,0.4552097817896698,0.0,2.7962819950817297e-09
2.0,0.596505418724762,0.6192716169142233,0.6091013933863674,0.589997757793165,0.020291956083846017,98.03088591933545,0.28169864105468456,0.25665014493019683,0.25122311977805245,0.21042809423706607,0.002711904320157947,13.101269386503073,0.5368754697421113,0.5890481535617073,0.5758251993878247,0.5882376278219456,0.00692705077924005,33.46473459193585,2.8260501575716117,0.16124345023942993,2.6648067073321817,0.0,0.00019775820806642878,0.0,2.0654489817170654,0.0,0.5991599622598897,0.5054895633395092,0.233263053861127,0.25777208196876567,0.022138450828291162,0.02070165421711639,99.98985442186918,0.034510743834968605,0.26045148074200886,0.22561461067967092,0.45006553152399104,0.0,5.147159985155556e-09
3.0,0.5905461341317184,0.6179256344025894,0.6074522609049314,0.5899948197036715,0.018795461142915793,90.80128596223814,0.2947822065725019,0.2557672677625695,0.2523126416939543,0.19713788397097426,0.0021957196746714576,10.607570016865575,0.513728803569315,0.5751911482555062,0.5608193786051915,0.5873441534863825,0.004881437716136539,23.582332915350186,3.721856159644963,0.15678561499355456,3.5650705446514084,0.0,0.004655810212807376,0.0,2.516875611612008,0.0,1.0435391132717777,0.5053790112637485,0.2331520637846171,0.25766468280696714,0.02204056524120393,0.020702415568762966,99.98617719685879,0.03985153891764276,0.2550895257468548,0.22042613356361512,0.44533665729360833,0.0,9.554815062097162e-09
4.0,0.5830780453406563,0.6161130098953472,0.6052421247608296,0.5899953452372538,0.016158620013842443,78.06264850197964,0.305799386790396,0.25540829504245127,0.2536837251541241,0.18510859301302868,0.002167367503321455,10.470600053807644,0.49447451826872985,0.5620511315238248,0.5467642493902812,0.5864274766407949,0.004211669754484517,20.34666916909341,3.9971459329064,0.15272460949794445,3.844421323408455,0.0,0.030667365260282037,0.0,2.54611918720883,0.0,1.2676347517828244,0.5052706477613055,0.23304641592506212,0.2575619151665574,0.021951243614465474,0.02070360598319087,99.98042819892952,0.045086603542227155,0.24998565442717424,0.21546140626400107,0.44102150987029126,0.0,1.915651907179028e-08
5.0,0.57481924299548,0.6139652936533782,0.6026336634049284,0.5900036411477675,0.013277267610268238,64.14277169951369,0.31495913596763786,0.25550807670835324,0.25529181583290067,0.1742409714911083,0.002337223120596431,11.2911762748008,0.47831500834825597,0.5495257024264072,0.5335225364781361,0.585485535217332,0.004057964588238558,19.604116132056962,3.9538464435054923,0.14902554679324714,3.804820896712245,0.0,0.09859409977262233,0.0,2.3787046642142218,0.0,1.327522097239843,0.5051653659448694,0.23294586188270325,0.2574636469075199,0.021869816626715798,0.020705069094144827,99.97336314355519,0.05017279123836327,0.2451278665360126,0.21071404506757774,0.43708775419200147,0.0,3.5485558090425825e-08
6.0,0.5661990904368399,0.6115423232319239,0.5997065702606386,0.5900205610140373,0.010897916241686179,52.648072932588626,0.3224928366355665,0.25599728714613285,0.25708968738620414,0.16442018883209664,0.002617928993373422,12.647272516946478,0.46468242223166206,0.5375727387979019,0.5210266600112574,0.5845193222876496,0.004151439910648458,20.055697469488145,3.7798615914918723,0.14565038881086367,3.6342112026810085,0.0,0.20578713835734072,0.0,2.137750792733925,0.0,1.2906732124790015,0.5050638067712683,0.23285004555466737,0.25736963575690636,0.021795504705688865,0.02070667233859498,99.96562255940908,0.05507913724079844,0.24049895866528603,0.20617234571495607,0.4334977289511934,0.0,5.9110741256921536e-08
7.0,0.557433192687556,0.6088484039333575,0.5964765702019529,0.5900440947646988,0.009189407846841323,44.394231318935844,0.3286218098912625,0.25681008258747373,0.2590321613239217,0.15553594619734198,0.002973353122486989,14.364334297986336,0.4531286637987167,0.5261672401715545,0.5092304088447559,0.5835305723873317,0.0043841940245037255,21.180137710158977,3.55941611399054,0.14255927051528444,3.4168568434752555,0.0,0.3297212498342043,0.0,1.88261845192628,0.0,1.2045170514492232,0.5049658931691606,0.23275836983518677,0.25727935963911674,0.021727544904642973,0.020708350806668607,99.95752007420913,0.05980936488297617,0.236070084504095,0.20181108661913283,0.4302145760230564,0.0,9.026554814034936e-08
8.0,0.5486445660922205,0.6058749972250381,0.5929434748007055,0.5900715941409622,0.00804229667426212,38.85251202724923,0.3335448951891978,0.25788754314642937,0.2610787097258315,0.14748885193854133,0.0033843906168861968,16.350065469270294,0.4432881736444997,0.5152897448453859,0.4980957942642063,0.5825211534047122,0.004703492254028255,22.72267447612818,3.324229278835922,0.13971642276271562,3.1845128560732063,0.0,0.44688817076358966,0.0,1.6397487349820192,0.0,1.0978758213937727,0.5048713235901645,0.23267023498835412,0.2571922755009208,0.02166524605154377,0.02071006795621883,99.94923222063957,0.06437804203351527,0.23181227067891758,0.1976040327591705,0.4272049047346707,0.0,1.2893382513005924e-07
9.0,0.53992347061133,0.6026205301707835,0.5891134755285989,0.5901008423253443,0.0073054254211682434,35.292670804904525,0.33743665774575815,0.2591782016169102,0.26319403670799557,0.14019110392933604,0.003838733297622861,18.545004947728852,0.434859188976142,0.504922630207408,0.4875886955997772,0.5814928819172819,0.005079186584784295,24.53766204690287,3.085967108364589,0.13709195600103824,2.948875152363551,0.0,0.5423557816281047,0.0,1.4195614588612795,0.0,0.9869577371701725,0.5047798431702223,0.23258515345167224,0.2571079470986534,0.0216079995631787,0.02071179319162713,99.94090672449039,0.06879748123107782,0.22770196293833367,0.1935301091077133,0.42443931429725296,0.0,1.7470399375118543e-07
