time (steps),Gov,Info,Infer,Int,A_Econ,SI_Econ,GM,ICu,IInter,ICo,A_Emp,SI_Emp,GT,IV,IA,IInteg,A_Edu,SI_Edu,E_gov,E_info,E_inf,E_intel,A_Ecol,SI_Ecol,GTD,IVD,IAD,IID
0.0,0.3,0.7,0.5,0.4,0.15,13.799702609742281,0.15,0.35,0.25,0.25,0.12000000000000008,17.24962826217784,0.3,0.7,0.5,0.4,0.18000000000000005,11.499752174785232,0.5009006134798968,0.23522971906223958,0.2564876766317107,0.01980172317492092,0.02070000000000002,99.99784499813236,0.25620392034215456,0.35546150893996636,0.1635647064955894,0.3371777049065989
1.0,0.2902081024479057,0.6955920974338553,0.49510405122395285,0.3997519683374786,0.13999071490034143,14.786376317421704,0.14898411029201802,0.35204354349930883,0.25075182954201,0.24822051666666317,0.11066744999100259,18.704283794644518,0.2805199851322514,0.6867796145719784,0.48778791817630857,0.399506565459056,0.16905087997947646,12.244570343038996,0.5006916321488635,0.23512218664260065,0.25637482127649974,0.019784328997969898,0.02071530011620943,99.92398757677816,0.2662998543847629,0.3502665941083473,0.15811263947634646,0.3363373883943314
2.0,0.28068508661406083,0.6913251346464492,0.49040241994229017,0.3995228232390945,0.1306605801917236,15.842233276662418,0.1481393204879729,0.3540087892706327,0.25154130669552,0.24631058354587446,0.10237124915598927,20.220085312305077,0.2627820388059496,0.6742722103773231,0.4763109012467523,0.3990325235534676,0.15872241498199138,13.041355196720003,0.500497706639499,0.23502000590829075,0.2562686382844963,0.01976629885766728,0.020728587282556374,99.85993561670563,0.27566843837282673,0.34533022037143474,0.15298291579044354,0.3354663483527443
3.0,0.27145389667231407,0.6871889598804289,0.48588304042340497,0.3993112625661114,0.12200228833426428,16.96652923255044,0.1474129839345509,0.3559134636905794,0.2523673603388178,0.2443061920360519,0.09493008749326391,21.805050918216242,0.24666148791058623,0.6624390179530082,0.4655282074954027,0.39857649604876105,0.1490758609706299,13.885248610901222,0.5003177717831874,0.23492296161952636,0.25616875590158406,0.01974786259513381,0.020740062438654894,99.80468465723627,0.2843611308363375,0.3406419894479719,0.14815757591479783,0.33457568845690694
4.0,0.2625305775096566,0.6831730201028341,0.4815333997594093,0.39911599810022824,0.11399795313642337,18.157829456676208,0.14676545369016467,0.35777089804897405,0.2532282220219783,0.24223542623888294,0.08821104671551933,23.4659429689906,0.23203258152872572,0.6512404369954065,0.45539775644186553,0.39813703400621353,0.14013048367877465,14.771628107745375,0.5001507970666297,0.23483079970966012,0.2560747852394601,0.019729195100518702,0.020749910072398105,99.75731866977262,0.2924277160993055,0.3361896273223713,0.1436178325700071,0.33367385768837377
5.0,0.2539253697518074,0.6792667118727602,0.4773409159191472,0.3989357757279452,0.10662162048278254,19.414030494833856,0.14616672636726652,0.35959114262434744,0.2541215979568446,0.24012053305154143,0.08211412766018938,25.208273538840736,0.21877236686137363,0.6406373884959677,0.44587773465401265,0.39771268851666813,0.13187647579028056,15.696168547551528,0.4999957977736775,0.23474324672260571,0.2559863351507188,0.01971043122365004,0.02075829920908606,99.71700333499902,0.29991576601533865,0.3319599232709916,0.1393447893389242,0.33276737067198375
6.0,0.24564375504987257,0.6754596693730779,0.47329325172541364,0.39876939087334917,0.09984161705895972,20.732390484410583,0.14559404473644724,0.3613817733575858,0.2550448132400397,0.23797936866592714,0.07656208684591313,27.03629794766802,0.20676322937286534,0.6305922212268105,0.4369276770077827,0.39730205915979244,0.12428528785026417,16.654870638873792,0.49985184318260173,0.23466002362075813,0.2559030228508974,0.019691676195510065,0.02076538424482635,99.68298043784414,0.30687024395575957,0.32793939692579116,0.1353199538200014,0.33186131113962175
7.0,0.23768739896873936,0.6717419864287615,0.46937855926665367,0.3986156994676738,0.09362260822850188,22.10956766349923,0.14503016170564673,0.3631484827532418,0.2559949311342067,0.23582642440690468,0.07149364436129352,28.952998688957738,0.1958944064585334,0.621069263820077,0.4285091336038052,0.3969038243968403,0.1173173588701031,17.644067437225992,0.4997180615376796,0.23458085520328356,0.2558244810295285,0.019673012991760334,0.020771305768447965,99.65456262290675,0.3133332646311814,0.32411475327399325,0.13152558116381124,0.3309596876637384
8.0,0.23005496684952392,0.6681043758726648,0.4655856570527586,0.39847362499615924,0.08792730819863155,23.541666791222866,0.14446206832636196,0.3648955168162172,0.2569688505212355,0.2336735643361853,0.0668588853577814,30.96006432629571,0.18606275500573466,0.6120351141719945,0.4205860304274677,0.3965167583807798,0.11092760563665056,18.660417121429575,0.4995936421980125,0.2345054762173628,0.2557503622334022,0.01965450758670852,0.02077619141515294,99.63112825152534,0.3193439902816144,0.3204731778935919,0.12794488582941,0.33006568747764026
9.0,0.2227428077229288,0.6645382735664517,0.46190414704785115,0.3983421622768578,0.08271783678500252,25.02429308979032,0.14388005151062314,0.3666260008461005,0.25796338460477747,0.23153056303849903,0.06261611713963121,33.05786890051697,0.17717300241193704,0.6034587449978043,0.4131248156501548,0.3961397381392063,0.10506914284954086,19.7008877708798,0.4994778355868016,0.23443363505216602,0.25568034122656785,0.019636212739587242,0.020780156750385012,99.6121163245311,0.32493863312699156,0.31700251541008523,0.12456215559651718,0.3291818593914532
