time (steps),Gov,Info,Infer,Int,A_Econ,SI_Econ,GM,ICu,IInter,ICo,A_Emp,SI_Emp,GT,IV,IA,IInteg,A_Edu,SI_Edu,V_CGM,V_grad_total,V_cycle_total,V_grad_Econ,V_cycle_Econ,V_grad_Emp,V_cycle_Emp,V_grad_Edu,V_cycle_Edu,E_gov,E_info,E_inf,E_intel,A_Ecol,SI_Ecol,GTD,IVD,IAD,IID,V_grad_Ecol,V_cycle_Ecol
0.0,0.3,0.7,0.5,0.4,0.15,13.799702609742281,0.15,0.35,0.25,0.25,0.12000000000000008,17.24962826217784,0.3,0.7,0.5,0.4,0.18000000000000005,11.499752174785232,6.0105938544266815,0.16621777551681832,5.844376078909863,0.0,1.961235962109971,0.0,1.5441915165274698,0.0,2.3389486000402164,0.5009006134798968,0.23522971906223958,0.2564876766317107,0.01980172317492092,0.02070000000000002,99.99784499813236,0.25620392034215456,0.35546150893996636,0.1635647064955894,0.3371777049065989,0.0,2.3220665652306756e-10
1.0,0.29032810972159623,0.6903281097215962,0.49032810972159624,0.39032810972159626,0.13680748823443487,15.130424643965709,0.14781010079266466,0.35464602982600696,0.25122806530933584,0.24631580407199255,0.10361937625866527,19.976528195789445,0.28075872777261224,0.67099161894364,0.4758751733581261,0.38075872777261227,0.1711407524868746,12.095046687492475,5.470881699100602,0.15963805936350528,5.311243639737096,0.0,1.7831454811179381,0.0,1.2970358162532654,0.0,2.2310623421113145,0.50068600697895,0.2349948878565551,0.25626295777839503,0.01957680624879612,0.02069908684495658,99.9977435762202,0.26657160757986353,0.3441167617703808,0.15270848929194214,0.3263119187619992,0.0,2.5457815805628623e-10
2.0,0.2811658375725925,0.6806787734889482,0.4809223055307704,0.38116583757259254,0.12523779404156665,16.528200670592458,0.14606477122014067,0.3586762571297345,0.2523705141749376,0.24288845747518711,0.09058432301032855,22.851143803606313,0.2630128552011111,0.6442894559316305,0.4536511555663708,0.36293988040764324,0.1624000839960851,12.746024143135552,4.985243874527834,0.15382391241150242,4.831419962116331,0.0,1.6201838435962834,0.0,1.089537477249398,0.0,2.1216986387545735,0.5004883022669602,0.23477187588617837,0.2560525994372117,0.019366992354222536,0.020698085588959456,99.99290648648747,0.2761227656775398,0.3333430044567374,0.14254603158628237,0.3161757633917398,0.0,2.516075174703272e-09
3.0,0.2724409528174218,0.6710444830906286,0.4717427179540252,0.3724373137261071,0.11506811081764731,17.98895781596412,0.14465564460021302,0.36219798565658345,0.25342681512839826,0.2397195546148053,0.08005179097406367,25.8577024483062,0.2467021945198177,0.6197419425898016,0.4332220685548097,0.34647766647998807,0.15384678366772497,13.454654963291194,4.546424619142182,0.1486866259140304,4.3977379932281515,0.0,1.471319286667782,0.0,0.9147115252491841,0.0,2.0117071740646093,0.5003058379619649,0.23456032592621043,0.25585559230473015,0.019171315050784753,0.020697062096840402,99.98796197356089,0.2849376563630037,0.32312297938563767,0.13302857370800047,0.306722549846899,0.0,7.2465763634625135e-09
4.0,0.2640984915844861,0.6614272126617148,0.4627628521231005,0.3640838372505669,0.10610779533896739,19.508042598083883,0.14350016625091605,0.36529840879465303,0.2543992875227845,0.23680213743164633,0.07142947072039356,28.979010632236943,0.23175905957636977,0.597205007161729,0.4144820333690494,0.33130443984515556,0.14553632137597217,14.222947040923962,4.148611218377848,0.14414765641957006,4.0044635619582785,0.0,1.3355391165775516,0.0,0.7670629850535396,0.0,1.9018614460849506,0.5001371981820065,0.23435985914560586,0.25567103902444865,0.018988854552871255,0.020696060674497578,99.98312408020841,0.2930846812048973,0.3134383851459987,0.12411276416723416,0.29790784308238843,0.0,1.4242236915252726e-08
5.0,0.25609711600317664,0.6518359137851114,0.4539665148941441,0.35606052156939566,0.09819384948513635,21.08029578547761,0.14253516034646388,0.3680486544056399,0.2552919073760519,0.2341242778718444,0.06429120137663337,32.196557960319396,0.21811088886602792,0.5765417226105191,0.39732630573827343,0.31735136885467957,0.13751212708619748,15.05289340891237,3.787056453239379,0.14013747608194638,3.6469189771574326,0.0,1.2118620520322383,0.0,0.6421964974682837,0.0,1.7928604046112102,0.4999811611345271,0.23417008330443081,0.25549813258012144,0.018818743919840578,0.020695110423424874,99.97853339638682,0.30062286527026505,0.3042702725403899,0.11575961583174582,0.2896897610052387,0.0,2.3045700574974243e-08
6.0,0.24840612368225612,0.6422844559329145,0.44534528980758536,0.3483334785511658,0.091186906663803,22.70013828951409,0.1417121238853091,0.37050696842779,0.2561095461565496,0.23167136153035134,0.058323790542079194,35.49075552570473,0.20568233060452484,0.5576220737391963,0.3816522021718605,0.3045491521438331,0.1298069060176267,15.946419608678289,3.457813764973888,0.13659454435663312,3.321219220617255,0.0,1.099346688490775,0.0,0.5365422618755854,0.0,1.685330237162732,0.49983666039798713,0.23399059890276694,0.2553361400110195,0.01866017032229128,0.020694229688964005,99.97427854884516,0.3076037276181245,0.29559934163993334,0.10793371920758787,0.2820290356483823,0.0,3.3088163048804424e-08
7.0,0.24100301051905892,0.6327899582223765,0.4368964843707177,0.34087747893984954,0.08496773027706168,24.361665125238233,0.14099375525161123,0.3727212111141319,0.2568574831828716,0.2294275504513853,0.053292697221445084,38.8412577967322,0.1943968977772434,0.5403227927805014,0.3673598452788724,0.29282871261005916,0.12244394679153593,16.90533052634685,3.1575499682008465,0.13346439547032213,3.0240855727305243,0.0,0.9970970722124377,0.0,0.44716210138032453,0.0,1.5798263553504979,0.499702755572794,0.23382100375934226,0.25518439002671056,0.01851237378083216,0.020693429203185898,99.97041138445402,0.31407269915951674,0.28740616297896976,0.10060264410640996,0.2748889522403635,0.0,4.3787264222144275e-08
8.0,0.23387149950022143,0.6233714580853208,0.42862147879277107,0.33367402598198515,0.07943419571029675,26.058744259344493,0.14035136760693273,0.37473082066739144,0.2575410941371621,0.22737671758851372,0.049019327626908964,42.227331374595366,0.18417827498189837,0.5245272270692247,0.3543527510255615,0.28212183108556355,0.11543838952345947,17.931256664323826,2.883410997363572,0.13069883207139255,2.7527121652921798,0.0,0.9042661154307626,0.0,0.37161037032604033,0.0,1.476835624927951,0.49957860985012814,0.23366089646129587,0.25504226351635445,0.018374644694278415,0.020692714324515624,99.96695778988276,0.3200702063124704,0.2796713442139454,0.09373648114742095,0.26823522979195297,0.0,5.4607425475026235e-08
9.0,0.22699995872340156,0.6140488654814735,0.4205244121024375,0.32670978246993576,0.07449871036736477,27.78511710141114,0.13976294183411384,0.3765683675210316,0.25816565467757274,0.22550303596728172,0.045365661535030376,45.628242186283735,0.1749513402769963,0.5101252142165872,0.34253827724679176,0.27236169984360376,0.10879842849951717,19.025600093759888,2.632924097863347,0.12825521356745306,2.504668884295894,0.0,0.8200573950543032,0.0,0.30783256588161395,0.0,1.3767788582678593,0.4994634727127327,0.23350987901143525,0.25490918622272646,0.018246320870729638,0.020692086644913545,99.96392545592681,0.3256325067306507,0.2723756580129972,0.08730748783785669,0.2620358776668726,0.0,6.509211748306346e-08
