time (steps),Gov,Info,Infer,Int,A_Econ,SI_Econ,GM,ICu,IInter,ICo,A_Emp,SI_Emp,GT,IV,IA,IInteg,A_Edu,SI_Edu,E_gov,E_info,E_inf,E_intel,A_Ecol,SI_Ecol,GTD,IVD,IAD,IID
0.0,0.6,0.5,0.55,0.5,0.009999999999999998,48.310219830100884,0.25,0.25,0.25,0.25,0.09999999999999996,20.69955391461343,0.6,0.62,0.61,0.59,0.02069955391461345,99.99999999999987,0.5057305093933067,0.23260777556638854,0.25759165284049,0.02180268005333355,0.020700000000000007,99.99784499813244,0.02287058700882122,0.22879484227329983,0.21689803982892275,0.43384437157326544
1.0,0.6016205502603729,0.5061839662360389,0.5538394673251239,0.5002712400216374,0.01095147080219036,52.90679619167478,0.2631302551012682,0.24640548005173132,0.24947052873468012,0.24099373611232033,0.18793605615656578,11.014147225356819,0.5653909585425605,0.6035301980814922,0.5922010643933169,0.5891483900890218,0.014049828339175749,67.87502956407619,0.5055934905170686,0.23251200317647772,0.2574916813120513,0.021736533705757854,0.020705435986210302,99.97159165544355,0.029489999040754056,0.22416805706305393,0.21206839331329636,0.4306488269809254
2.0,0.599438777909115,0.5112733594123988,0.556514431930856,0.5005359578212504,0.012510723865861337,60.439582019345096,0.2687599492047132,0.24388984971809452,0.24918757151851217,0.23816262955868006,0.09584448551351024,21.5970212617977,0.5365096856221273,0.5880868967776222,0.5757595392174064,0.5883018667139945,0.006928090543563338,33.46975771623881,0.505418004175823,0.23242320527473348,0.25739474172842036,0.021712985119550787,0.020716691938570727,99.91727432155615,0.03796778276350271,0.21987821090933823,0.2073852207178476,0.42951118960457385
3.0,0.594324911072908,0.5153231514312744,0.5581061892456423,0.5007918513234855,0.014731763723875283,71.16947439855207,0.27978754870648515,0.2414442195125647,0.24923131350667418,0.22953691827427608,0.03746206248401863,55.25470981060875,0.5121196154388391,0.5737046102396464,0.5606562454957054,0.5874776951501791,0.0047376928711544836,22.887898409297495,0.5052905201942922,0.23233503811417844,0.2573018159495264,0.021649547960164925,0.020720284347815036,99.89995101971756,0.04412656193607717,0.2156188360011282,0.20289595591159665,0.4264465264892457
4.0,0.5869282689156736,0.5183837022401467,0.5586868723404682,0.5010364613106738,0.017776008695543164,85.87628877834753,0.2927655805480902,0.23946446172823438,0.24970218596263882,0.2180677717610365,0.018044448121475043,87.17312554613106,0.4915635065992219,0.5600030028437862,0.5464677221435311,0.5866423862938428,0.004030212330690939,19.470044365766256,0.5051871968587888,0.23224795637166998,0.2572111728251,0.021566336820266714,0.020720209664876,99.90031109435348,0.04911813498782597,0.21141189787735554,0.19851696664446883,0.4224265780284499
5.0,0.5777417948109297,0.5204747893867251,0.5582913692760249,0.5012666299166116,0.021925277441728844,94.40954154229954,0.3047388212781069,0.2381537250942347,0.2505929914562344,0.20651446217142388,0.011385183663321379,55.00207255811293,0.4744305081006697,0.5468714064579957,0.5330575584935877,0.5857831567527315,0.003879136519702702,18.740193801781004,0.5050882099920779,0.2321627346117149,0.25712206220305345,0.021482280275104845,0.02071974419942478,99.9025553374741,0.05390021227891911,0.2072948159196183,0.1942120129042051,0.4183657878535212
6.0,0.5671244890921334,0.5215910465441951,0.5569245777613095,0.5014780934540931,0.027630624863318187,74.91525804070287,0.3149822786217962,0.2374965088113423,0.25185422475985153,0.19566698780701006,0.008643508537693795,41.75697975593412,0.46019850302872545,0.5342762922106201,0.5203658969767178,0.5848977209795615,0.003989924775932424,19.275414303086144,0.5049874317751126,0.2320789975100176,0.25703376328981475,0.021402784006747125,0.020719804895150327,99.9022626871277,0.058768830094602875,0.2032494581286856,0.18994627299488231,0.41452530565348705
7.0,0.5552780663771396,0.5216950740150893,0.5545539679359687,0.5016648628156817,0.03559027535263044,58.16070179148962,0.3234544129848832,0.23742223376225946,0.2534287125372993,0.18569464071555805,0.007397380196539671,35.73690634616665,0.4483699245633928,0.5222050157249837,0.508355697365812,0.5839869078983402,0.004246061363677742,20.512815789136972,0.5048825342546659,0.23199591278449316,0.25694540157460666,0.02132898050065185,0.0207206141040811,99.89836117133456,0.06383645236701602,0.1992356167740772,0.18567749910861608,0.4109598420497922
8.0,0.5422278798940396,0.5207029918436954,0.5510939058298643,0.5018182875827039,0.04669120158907329,44.33287902245279,0.33027587733622776,0.23785445647786937,0.2552624086881669,0.176607257497736,0.006845426514358167,33.07040597394444,0.4385099466415651,0.5106502979101862,0.49699774773682365,0.5830524154031321,0.0045910207512522925,22.179322173755324,0.5047715246166075,0.23191232400270478,0.25685581172778,0.02126088965651498,0.02072226577846882,99.89039874259794,0.06919935238487701,0.1951974243505501,0.1813493939138744,0.4076703584011228
9.0,0.5278184766178069,0.5184739273905349,0.5463944357586128,0.5019263409186097,0.06084521082551618,34.02002168087289,0.33559623349063644,0.23872379985265244,0.2573085436566719,0.1683714230000392,0.006668676954854104,32.21652496649296,0.4302472319546657,0.4996056349176517,0.4862658889945634,0.5820961786344541,0.004992120646502148,24.11704458509042,0.5046518000402498,0.231826735597087,0.25676345588056254,0.02119821128354396,0.020724869659297516,99.87784847335465,0.0749832729877849,0.19106262966024612,0.1768876626322054,0.40464235242429986
