time (steps),Gov,Info,Infer,Int,A_Econ,SI_Econ,GM,ICu,IInter,ICo,A_Emp,SI_Emp,GMT,ICV,IIA,ICI,A_Edu,SI_Edu,V_CGM,V_grad_total,V_cycle_total,V_grad_Econ,V_cycle_Econ,V_grad_Emp,V_cycle_Emp,V_grad_Edu,V_cycle_Edu,E_gov,E_info,E_inf,E_intel,A_Ecol,SI_Ecol,GTD,IVD,IAD,IID,V_grad_Ecol,V_cycle_Ecol
0.0,0.3,0.7,0.5,0.4,0.15,13.799702609742281,0.15,0.35,0.25,0.25,0.12000000000000008,17.24962826217784,0.3,0.7,0.5,0.4,0.18000000000000005,11.499752174785232,6.0105938544266815,0.16621777551681832,5.844376078909863,0.0,1.961235962109971,0.0,1.5441915165274698,0.0,2.3389486000402164,0.5009006134798968,0.23522971906223958,0.2564876766317107,0.01980172317492092,0.02070000000000002,99.99784499813236,0.25620392034215456,0.35546150893996636,0.1635647064955894,0.3371777049065989,0.0,2.3220665652306756e-10
1.0,0.2804162048958114,0.6911841948677107,0.4902081024479057,0.39950393667495726,0.1334171171173033,15.51491619805719,0.1479825911176767,0.35405817951941776,0.2514930238825403,0.24646620548036527,0.10428696952414458,19.848648406473302,0.26103997026450276,0.673559229143957,0.4755758363526172,0.3990131309181119,0.1617175992443982,12.79981524047417,5.322167947730428,0.1656639405939632,5.156504007136465,0.0,1.7360706910679677,0.0,1.3073999176466462,0.0,2.113032342124843,0.5004827499723754,0.23501445476565366,0.25626189253998005,0.019767108505090475,0.02072966210583736,99.85475792576736,0.276390998249491,0.34506204345032826,0.1526570273899438,0.33550546259774366,0.0,1.0562970083645533e-06
2.0,0.261387568804433,0.6826979010129104,0.4809332909432555,0.3990702385345827,0.1185906234711426,17.454629471317666,0.14633442961246648,0.3579099605342832,0.25313201838907723,0.24262359146417298,0.09131924081026735,22.667242665344297,0.22850198208883898,0.64972256572436,0.4538175796580502,0.39809002319928083,0.14529273917099095,14.246791706674824,4.689062866054899,0.1654665064688353,4.5235963595860635,0.0,1.523499061691785,0.0,1.101498078505085,0.0,1.8985959005377446,0.5001155758633263,0.2348180078829881,0.2560590778022561,0.019731233281078637,0.02075295246455561,99.74269420202552,0.2941292601735751,0.33557165136381767,0.14285900282571706,0.3337723226392777,0.0,3.318851449697775e-06
3.0,0.2432404668582038,0.6745247556079231,0.4721510409971325,0.39869217073315444,0.10557928580466554,19.605696095453897,0.14477263170798874,0.36165506913920986,0.25491281805932686,0.23865948109347446,0.08034056338208997,25.764760717657474,0.2015061747867571,0.6282382571810063,0.43445996932164316,0.39722261714126517,0.13098620471904152,15.802850352838965,4.11447127604589,0.16551087807778228,3.9489603979681083,0.0,1.32739078433873,0.0,0.9195883514848228,0.0,1.7019753421744885,0.49979332032873447,0.2346392165531581,0.2558772042034953,0.01969528792453045,0.020770902134218498,99.65649917782079,0.30969749589117135,0.3269342029160129,0.1340726492882902,0.33203579456256355,0.0,5.919970066795605e-06
4.0,0.22617057606391566,0.6666336896925356,0.4638202237944192,0.3983627695768011,0.09431481129456531,21.947299295297633,0.1431489131368752,0.36534481372523303,0.2568192357005778,0.2346870374373139,0.07094172656758732,29.178249411356834,0.17919222014008498,0.6088524157950816,0.4172309044880755,0.39640234191829476,0.11869828704532939,17.438797500682146,3.599324012333993,0.16570657674025976,3.4336174355937334,0.0,1.1499256953376564,0.0,0.7585998894345434,0.0,1.5250834817837071,0.4995103742346762,0.2344764686377188,0.2557139988163245,0.01965994605791991,0.02078441380166842,99.59171383006151,0.32336668389519596,0.31907181534424983,0.12618816115661358,0.3303284212174021,0.0,8.36903782634317e-06
5.0,0.21027728893988434,0.658988162593407,0.45589322134382415,0.398075329267685,0.0846517091080872,24.452611923266993,0.14138931647768319,0.36900356646464205,0.25882844093382185,0.230778676123853,0.06286832463618103,32.92525136370618,0.16078530081774128,0.5913315372621419,0.40187848798549475,0.3956213141503959,0.10818599423465775,19.13330284668424,3.142350759950296,0.16598769750932477,2.976363062440971,0.0,0.9918419671015093,0.0,0.6170830701226624,0.0,1.3674276046929026,0.4992615669551649,0.23432806903084266,0.25556723750443416,0.019625606675155914,0.02079426753959361,99.54452050402907,0.3353866182637183,0.3119025977133634,0.11909808991663628,0.3286694780872435,0.0,1.042052389675231e-05
6.0,0.1955937623340921,0.6515526005596417,0.4483231202981089,0.3978236991741072,0.07640883466168098,27.090524291157976,0.1394623818922017,0.37264039623343215,0.2609146472214998,0.2269825746528664,0.055936942234476254,37.00515810793717,0.1456167060626307,0.5754701635057754,0.388180549775415,0.39487278382788243,0.09917632018554677,20.871467983372533,2.7406618553354747,0.16630877192340804,2.5743530834120665,0.0,0.852799946473416,0.0,0.494130203859605,0.0,1.2274109521833458,0.4990422961945256,0.23419241722265738,0.2554348857091993,0.019592513181315857,0.020801128255806385,99.51168830871177,0.3459796369125131,0.3053492290395829,0.1127041455939306,0.3270707241248842,0.0,1.1980895700022296e-05
7.0,0.182109719453414,0.6442960585220562,0.4410678772506472,0.3976024220955789,0.06939787623053673,29.827359335681113,0.13736170182716748,0.37625553511932847,0.26305153756873767,0.2233312254847664,0.04999882781713553,41.40007839847657,0.13312208778230497,0.5610909994517734,0.37594530401060927,0.39415118591240184,0.09141554218173144,22.64336394074359,2.39031900001566,0.16663980393044556,2.223679196085214,0.0,0.731740412080437,0.0,0.388862703259573,0.0,1.103063035220791,0.4988485529153272,0.23406807798850868,0.25531514846018616,0.019560813717736058,0.020805556486442982,99.49050835579123,0.35533941732119245,0.2993423733043525,0.10691961277225409,0.3255393160708479,0.0,1.304552441295953e-05
8.0,0.16978745884323074,0.6371937784799879,0.43409214962778275,0.39740676301688016,0.06344007537481769,32.62851406199627,0.13509598387787658,0.37984406418520605,0.2652137884848432,0.21984616345207422,0.04492489779734217,46.07590652290375,0.12283069744862372,0.5480419513010404,0.3650083602418895,0.3934520241009988,0.08468584994597074,24.44275392857208,2.0867866750389665,0.166961886586791,1.9198247884521755,0.0,0.6271816494192843,0.0,0.3002195131548093,0.0,0.9924099683410692,0.49867688896940543,0.23395379713734046,0.25520647290091614,0.019530593176836034,0.02080802089900438,99.47872512759659,0.36363254028557757,0.29382144026204454,0.10166947261376125,0.3240793550965832,0.0,1.365753701256875e-05
9.0,0.15857262763862126,0.6302274024198298,0.4273676170173386,0.3972326733430858,0.058374439258739266,35.45996188993709,0.13268309995609012,0.38339809282920223,0.26737797231785665,0.21654083489685103,0.04060008845479286,50.98401186406733,0.11435218604118788,0.5361923269202619,0.35522869842719385,0.3927717029245881,0.07880728488043955,26.266041199131806,1.8252689284568513,0.16726376898446377,1.6580051594723875,0.0,0.537441827986646,0.0,0.22690761466433249,0.0,0.8936418348134532,0.49852435929341016,0.23384849180132244,0.2551075289601202,0.019501891593471567,0.020808910971583754,99.47447006179387,0.3710012824635215,0.28873411632973106,0.09688946908305246,0.32269277529477386,0.0,1.3882007955783248e-05
