time (steps),Gov,Info,Infer,Int,A_Econ,SI_Econ,GM,ICu,IInter,ICo,A_Emp,SI_Emp,GT,IV,IA,IInteg,A_Edu,SI_Edu,E_gov,E_info,E_inf,E_intel,A_Ecol,SI_Ecol,GTD,IVD,IAD,IID
0.0,0.3,0.7,0.5,0.4,0.15,13.799702609742281,0.15,0.35,0.25,0.25,0.12000000000000008,17.24962826217784,0.3,0.7,0.5,0.4,0.18000000000000005,11.499752174785232,0.5009006134798968,0.23522971906223958,0.2564876766317107,0.01980172317492092,0.02070000000000002,99.99784499813236,0.25620392034215456,0.35546150893996636,0.1635647064955894,0.3371777049065989
1.0,0.2608324097916228,0.6823683897354214,0.48041620489581144,0.3990078733499145,0.12368104534702531,16.736237841889547,0.14602146168988162,0.35800314840923453,0.2529443970266292,0.24303099287425461,0.09478836524715561,21.83765260708995,0.22207994052900548,0.6471184582879141,0.4511516727052344,0.39802626183622375,0.14987910010109506,13.810834132745226,0.5000652747847217,0.23479840933255736,0.25603582106434736,0.019733174035804695,0.02075683756681481,99.72402514584894,0.2965593163386513,0.3346248410841564,0.1417354647048144,0.3338660809267298
2.0,0.2218114249562911,0.6651211827509045,0.46186373864230157,0.3982126716276952,0.1013483544308041,20.42416379710053,0.1421990642892902,0.36564893740424675,0.25645823114919497,0.23569376715726806,0.07585503078493061,27.288307315176258,0.16790719581030994,0.6037645671742785,0.4119868638493324,0.3962586186950925,0.12612293307537814,16.41220467196256,0.49939587793456036,0.2344330255739422,0.25566182538132576,0.01966486502089264,0.020794654367462074,99.5426687495347,0.3288980253235241,0.31697307138310965,0.12366765104253236,0.3305660573999507
3.0,0.18649560190394593,0.6485459975454927,0.4446124814618753,0.3975838550065786,0.08391621608948106,24.666929562864453,0.1371966726780777,0.3734511436320138,0.2605419480386159,0.2288102356512926,0.060881407866521874,33.99979507700563,0.13088823499508592,0.5681903992993528,0.38064034599219565,0.39464535676140655,0.10845628892860751,19.08561884155848,0.49886226292341806,0.23412703685486416,0.2553546849991272,0.019601899668407034,0.02081826373558992,99.42978039627023,0.35467708381645136,0.3021906890989195,0.10882963165981835,0.3275241873796914
4.0,0.1561163664841801,0.6326207319649162,0.428578247364096,0.39708375997846646,0.07083471455642898,29.222329819828044,0.13100225415851338,0.38139779345383834,0.2649947952664684,0.22260515712117995,0.04928229574481235,42.00200822988718,0.10555262749819874,0.5388869057290617,0.35547305820075253,0.39314125032185016,0.09508081083352375,21.770485267375463,0.4984350982251138,0.23386979584416182,0.2551011246083127,0.01954525685710229,0.020831581992235806,99.36621194841759,0.3753135042951905,0.2897633193225719,0.0965800734393617,0.32478776071376436
5.0,0.13071831052115596,0.6172630963059532,0.41360313988458947,0.39667890387397275,0.061129443950117796,33.86183903701865,0.12391924136979679,0.3893525130727226,0.2695769278173531,0.2171513177401276,0.04052044535989336,51.084221140129884,0.08805418483114903,0.5147235428277928,0.33526054218993356,0.3917162249943898,0.08456332421315578,24.478169593282292,0.498090247028034,0.23365199321321845,0.25488995127171793,0.019495000266546353,0.02083763071658389,99.33736803455021,0.3919733414347873,0.2792412263421226,0.08637824312621478,0.3223598537760956
6.0,0.10985546401778372,0.6024283780098824,0.39956915166877754,0.39634329810725255,0.05390269299360321,38.40170641765505,0.11630018512004676,0.39716461863038544,0.27407609605601596,0.21245910019355188,0.034012898418916984,60.85795353183113,0.07580150839907004,0.49485370379860655,0.3190927692267096,0.39035171847035693,0.07597844112391898,27.24398343584459,0.4978091844886896,0.23346643929479863,0.25471260720227973,0.01945089414117709,0.020838643278722768,99.33254117243149,0.40555153449652104,0.2702770757529246,0.07781071214609042,0.3202290771636526
7.0,0.09292052993877081,0.5881213794611854,0.38641426952915925,0.3960578802491813,0.04846042481472101,42.71434679690517,0.10847060117430071,0.40469964250905816,0.2783284856608566,0.20850127065578455,0.029224638553098457,70.82911864591328,0.06706573035461766,0.4786189243913435,0.3062688679483455,0.38903641397282535,0.06875900402925475,30.104499340633883,0.4975780374271429,0.23330769611265761,0.254562698315578,0.019412540959642427,0.0208362321867949,99.34403556767765,0.4167182998529248,0.2626081577271621,0.07056858087504314,0.3183762265325292
8.0,0.07928995145311143,0.5743812469457358,0.37411709135877175,0.39580895286054757,0.04429925584153739,46.72664025928037,0.10070305416666783,0.41184867298866323,0.2822203185259216,0.20522795431874719,0.02571837844135691,80.48545502902752,0.0606960728979543,0.46548472814240566,0.29622697424954886,0.38776326680764867,0.06255982069534258,33.08761707521079,0.49738644385372227,0.23317159448754837,0.25443541510946416,0.019379453475546843,0.02083154955749316,99.36636666170493,0.42597422750291003,0.25603305829890133,0.06441950120700346,0.31677776290224663
9.0,0.06838618604559649,0.5612636221896531,0.3626778852211103,0.39558671501229087,0.04106192890680312,50.41057365228629,0.0932085014213156,0.41853099827903173,0.28568217250644895,0.20257832779320373,0.02315929732055974,89.37902401830355,0.05592781226159861,0.455001595847238,0.2885018147829853,0.3865276663960694,0.05716711059643562,36.20885103104029,0.49722659790483403,0.2330548598240867,0.2543270701141476,0.019351112579287733,0.02082541602211234,99.395632205545,0.433696420432651,0.2503935810452741,0.05918533066577092,0.31540860797378684
